neighborhood,sqft_living,sqft_lot,bedrooms,bathrooms,floors,has_basement,basement_sqft,garage_cars,has_pool,year_built,house_age_years,renovated,condition_score,quality_grade,school_rating,crime_rate_per_1000,dist_city_center_km,dist_school_km,dist_hospital_km,property_tax_rate_pct,hoa_monthly_usd,market_trend,price_usd
Suburbs,1843,4661,2,1,2.0,1,1131,2,0,1972,52,0,7,4,4.1,2.89,19.49,9.55,13.57,1.044,0,Declining,522200
Industrial,762,6529,1,1,2.0,0,0,2,0,1983,41,0,8,2,1.4,3.89,24.65,10.98,18.23,0.978,106,Stable,287500
Rural,2574,7623,3,2,1.0,1,1061,2,1,1970,54,1,7,4,2.4,6.92,57.35,15.0,30.0,1.055,0,Stable,571700
Rural,3891,10380,7,4,3.0,1,494,0,0,2019,5,0,10,3,2.8,7.43,53.79,15.0,30.0,1.034,0,Rising,777800
Suburbs,869,2480,1,1,2.0,0,0,2,0,1996,28,0,9,3,4.1,3.64,9.8,4.64,8.38,1.184,0,Rising,409000
Suburbs,1231,8359,3,2,3.0,0,0,0,1,2002,22,1,9,3,4.1,3.5,10.97,4.94,10.36,1.219,0,Declining,430200
Downtown,1505,7073,3,2,1.0,0,0,3,0,1990,34,1,10,4,5.5,2.13,1.58,1.74,2.44,1.024,456,Rising,598800
Industrial,4071,8892,6,3,3.0,1,1057,0,1,1981,43,1,9,2,2.0,6.63,13.47,6.7,11.32,0.989,106,Rising,886000
Rural,3853,5538,6,4,1.5,1,386,2,0,1963,61,0,6,3,3.1,7.46,31.33,13.71,19.79,0.889,0,Rising,790500
Rural,2614,8970,4,3,1.0,1,1290,2,0,1966,58,0,6,1,2.7,5.13,23.49,11.3,14.77,0.898,0,Stable,582500
Downtown,2241,5391,5,3,2.0,0,0,2,0,1974,50,1,10,4,4.6,3.69,1.27,1.11,2.56,1.115,472,Rising,727200
Industrial,804,7531,3,2,2.0,0,0,1,0,2013,11,0,10,1,1.6,6.49,24.3,10.46,16.53,0.778,106,Declining,298900
Waterfront,1181,6032,1,1,2.0,0,0,2,0,2022,2,0,8,5,5.8,0.5,10.44,5.51,10.07,1.249,390,Rising,525800
Suburbs,1440,4574,3,2,2.0,0,0,2,0,1997,27,1,10,4,4.4,3.75,6.33,3.73,6.1,0.973,106,Declining,577500
Suburbs,2319,10085,2,2,1.0,1,1064,3,0,1984,40,0,8,2,3.7,6.13,16.66,6.67,10.4,1.191,0,Declining,649900
Suburbs,3243,7557,5,3,2.0,0,0,2,0,1986,38,1,8,4,5.1,3.34,14.76,6.53,12.03,1.302,0,Stable,757500
Suburbs,2897,7767,4,3,1.5,0,0,2,0,2004,20,0,9,2,4.9,3.88,7.43,3.48,6.8,1.306,0,Stable,666800
Suburbs,1474,9332,3,2,2.0,0,0,2,0,1966,58,0,5,4,4.2,4.18,8.8,5.2,6.94,1.041,0,Rising,504100
Suburbs,1289,8383,1,1,1.5,0,0,1,0,1977,47,1,6,5,4.6,4.4,16.25,8.23,13.76,1.031,0,Declining,471100
Suburbs,4600,5803,8,5,3.0,1,837,2,0,1950,74,0,5,4,3.9,6.02,13.49,5.96,8.87,1.228,0,Stable,924600
Rural,3741,6407,6,4,2.0,0,0,1,0,2002,22,0,10,2,3.6,5.3,40.03,15.0,28.58,1.031,0,Rising,668100
Downtown,2022,9726,3,2,2.0,1,729,2,0,2022,2,0,10,4,7.1,2.93,2.18,1.28,2.98,1.218,393,Stable,615100
Suburbs,1271,3937,3,3,3.0,0,0,2,0,2004,20,0,8,4,4.2,5.08,14.44,6.13,10.97,1.019,0,Rising,495300
Suburbs,1771,3909,4,2,2.0,1,432,2,0,2010,14,0,10,4,5.5,3.31,16.56,7.1,14.58,1.162,106,Stable,557800
